2022-05-15 19:05:938 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (4aee49d01986d1d832854bdd5f4bb941)] -> id: LastName-error]
2022-05-15 19:05:961 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (4aee49d01986d1d832854bdd5f4bb941)] -> id: Email-error]
2022-05-15 19:05:990 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (4aee49d01986d1d832854bdd5f4bb941)] -> id: Password-error]
2022-05-15 19:05:905 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:740 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (9ca895f5b5b0cd1ff99ba1bf832a6886)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:772 INFO  RegisterPage :50 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (9ca895f5b5b0cd1ff99ba1bf832a6886)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 19:05:912 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (9ca895f5b5b0cd1ff99ba1bf832a6886)] -> id: FirstName-error]
2022-05-15 19:05:959 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (9ca895f5b5b0cd1ff99ba1bf832a6886)] -> id: LastName-error]
2022-05-15 19:05:996 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (9ca895f5b5b0cd1ff99ba1bf832a6886)] -> id: Email-error]
2022-05-15 19:05:34 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (9ca895f5b5b0cd1ff99ba1bf832a6886)] -> id: Password-error]
2022-05-15 19:05:859 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:966 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (6b656dc04167f63b82c0587273a60c4b)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:986 INFO  RegisterPage :50 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (6b656dc04167f63b82c0587273a60c4b)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 19:05:86 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (6b656dc04167f63b82c0587273a60c4b)] -> id: FirstName-error]
2022-05-15 19:05:110 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (6b656dc04167f63b82c0587273a60c4b)] -> id: LastName-error]
2022-05-15 19:05:134 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (6b656dc04167f63b82c0587273a60c4b)] -> id: Email-error]
2022-05-15 19:05:157 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (6b656dc04167f63b82c0587273a60c4b)] -> id: Password-error]
2022-05-15 19:05:81 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:189 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (4617cc61edf2361a5b5fa96210dd760f)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:207 INFO  RegisterPage :50 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (4617cc61edf2361a5b5fa96210dd760f)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 19:05:296 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (4617cc61edf2361a5b5fa96210dd760f)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 19:05:318 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (4617cc61edf2361a5b5fa96210dd760f)] -> id: LastName-error]
2022-05-15 19:05:338 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (4617cc61edf2361a5b5fa96210dd760f)] -> id: Email-error]
2022-05-15 19:05:359 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (4617cc61edf2361a5b5fa96210dd760f)] -> id: Password-error]
2022-05-15 19:05:722 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:934 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (b8162e62f393783562e2b63a8058ceb3)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:960 INFO  RegisterPage :50 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (b8162e62f393783562e2b63a8058ceb3)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 19:05:56 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (b8162e62f393783562e2b63a8058ceb3)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 19:05:80 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (b8162e62f393783562e2b63a8058ceb3)] -> id: LastName-error]
2022-05-15 19:05:104 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (b8162e62f393783562e2b63a8058ceb3)] -> id: Email-error]
2022-05-15 19:05:126 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (b8162e62f393783562e2b63a8058ceb3)] -> id: Password-error]
2022-05-15 19:05:500 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:549 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (28967a7c6d7660a3f052622318d837f1)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:575 INFO  RegisterPage :50 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (28967a7c6d7660a3f052622318d837f1)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 19:05:696 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (28967a7c6d7660a3f052622318d837f1)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 19:05:728 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (28967a7c6d7660a3f052622318d837f1)] -> id: LastName-error]
2022-05-15 19:05:760 INFO  RegisterPage :65 - Email is not required [[ChromeDriver: chrome on WINDOWS (28967a7c6d7660a3f052622318d837f1)] -> id: Email-error]
2022-05-15 19:05:792 INFO  RegisterPage :69 - Password is not required [[ChromeDriver: chrome on WINDOWS (28967a7c6d7660a3f052622318d837f1)] -> id: Password-error]
2022-05-15 19:05:539 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 19:05:694 INFO  RegisterPage :47 - Clicking on register link :[[ChromeDriver: chrome on WINDOWS (112d1c5d455c9411a941cd0f669a1acd)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 19:05:710 INFO  RegisterPage :50 - Register text not displayed [[ChromeDriver: chrome on WINDOWS (112d1c5d455c9411a941cd0f669a1acd)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-15 19:05:799 INFO  RegisterPage :57 - First name is not required [[ChromeDriver: chrome on WINDOWS (112d1c5d455c9411a941cd0f669a1acd)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 19:05:824 INFO  RegisterPage :61 - Last name is not required [[ChromeDriver: chrome on WINDOWS (112d1c5d455c9411a941cd0f669a1acd)] -> id: LastName-error]
